,Weight Not Over(lbs.),Price Group,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,,1Canada,2Mexico,3,4,5,6,7,8
1,0.5,$71.10,$79.20,$91.30,$155.50,$101.20,$105.95,$79.50,$125.05
2,1.0,85.05,86.20,103.50,177.30,117.45,120.60,94.10,140.45
3,2.0,90.90,93.70,111.25,207.55,125.30,129.90,105.15,162.50
4,3.0,99.95,105.10,128.25,228.45,142.20,144.75,124.00,183.70
5,4.0,106.00,112.90,136.60,248.50,150.65,154.45,135.80,200.85
6,5.0,111.60,120.80,144.90,268.60,159.05,164.20,147.60,217.95
7,6.0,118.20,129.45,154.20,290.05,168.45,174.15,156.20,235.50
8,7.0,123.90,136.90,161.85,310.05,176.95,183.85,164.00,252.30
9,8.0,129.55,144.30,169.40,329.95,185.50,193.60,171.90,269.10
10,9.0,135.20,151.75,177.05,349.95,194.10,203.30,179.70,285.95
11,10.0,140.95,159.20,184.60,369.90,202.65,213.05,187.55,302.80
12,11.0,147.55,165.10,191.85,393.55,209.65,224.40,194.20,317.50
13,12.0,153.10,169.75,198.15,413.60,215.60,232.70,200.55,330.45
14,13.0,158.70,174.40,204.50,433.75,221.65,241.15,206.90,343.45
15,14.0,164.35,178.95,210.80,453.90,227.70,249.50,213.20,356.40
16,15.0,169.95,183.50,217.20,474.10,233.65,257.90,219.50,369.35
17,16.0,175.55,188.20,223.45,494.25,239.70,266.25,225.85,382.30
18,17.0,181.15,192.75,229.80,514.40,245.70,274.65,232.20,395.30
19,18.0,186.75,197.30,236.10,534.50,251.65,282.95,238.50,408.25
20,19.0,192.35,202.00,242.40,554.60,257.65,291.35,244.90,421.30
21,20.0,197.95,206.55,248.70,574.75,263.65,299.70,251.20,434.30
22,21.0,203.75,210.10,255.55,592.00,270.75,308.65,258.00,449.35
23,22.0,209.40,213.35,261.85,608.05,276.75,317.05,264.35,462.40
24,23.0,215.00,216.60,268.25,624.15,282.75,325.45,270.70,475.45
25,24.0,220.65,219.75,274.60,640.20,288.75,333.85,277.00,488.45
26,25.0,226.25,223.00,280.90,656.40,294.75,342.25,283.35,501.55
27,26.0,231.85,226.15,287.20,672.45,300.80,350.65,289.70,514.55
28,27.0,237.50,229.40,293.55,688.55,306.85,359.00,296.05,527.55
29,28.0,243.05,232.55,299.90,704.65,312.80,367.40,302.30,540.65
30,29.0,248.70,235.80,306.20,720.80,318.90,375.80,308.65,553.65
31,30.0,254.30,239.00,312.55,736.85,324.95,384.20,315.00,566.70
32,31.0,263.65,242.95,319.75,758.65,331.85,392.95,322.30,583.10
33,32.0,268.50,246.15,326.10,774.85,337.95,401.35,328.65,596.20
34,33.0,273.45,249.35,332.50,791.15,343.90,409.75,335.00,609.25
35,34.0,278.35,252.60,338.85,807.35,350.00,418.15,341.35,622.40
36,35.0,283.25,255.80,345.15,823.60,356.10,426.50,347.70,635.55
37,36.0,288.10,259.00,351.55,839.80,362.05,434.95,354.05,648.60
38,37.0,293.00,262.25,357.85,856.05,368.10,443.35,360.45,661.70
39,38.0,297.85,265.45,364.20,872.25,374.20,451.70,366.75,674.85
40,39.0,302.80,268.65,370.60,888.50,380.20,460.15,373.15,688.00
41,40.0,307.60,271.95,376.95,904.75,386.25,468.55,379.50,701.10
42,41.0,315.15,275.90,383.30,924.35,393.80,476.90,388.45,714.90
43,42.0,319.35,279.15,389.70,940.60,399.75,485.30,394.85,728.00
44,43.0,323.60,282.35,396.00,956.85,405.85,493.70,401.25,741.10
45,44.0,327.80,285.60,402.30,973.20,411.95,502.10,407.65,754.25
46,45.0,332.00,288.85,408.70,989.50,417.95,510.55,414.05,767.40
47,46.0,336.30,292.05,415.05,1005.75,424.05,518.90,420.40,780.50
48,47.0,340.50,295.30,421.45,1022.05,430.15,527.30,426.80,793.60
49,48.0,344.70,298.50,427.75,1038.30,436.15,535.70,433.25,806.80
50,49.0,348.95,301.75,434.15,1054.65,442.25,544.10,439.65,819.85
51,50.0,353.20,304.95,440.50,1070.85,448.35,552.50,446.05,833.00
52,51.0,359.80,308.20,447.65,1088.20,455.70,561.50,454.60,847.75
53,52.0,364.10,311.40,454.00,1104.55,461.75,569.80,461.05,860.90
54,53.0,368.30,314.65,460.40,1120.85,467.85,578.25,467.45,874.10
55,54.0,372.55,317.80,466.80,1137.10,473.95,586.65,473.90,887.20
56,55.0,376.80,321.10,473.10,1153.40,480.00,595.05,480.35,900.35
57,56.0,381.10,324.30,479.50,1169.70,486.05,603.45,486.75,913.45
58,57.0,385.30,327.50,485.85,1186.05,492.15,611.95,493.25,926.65
59,58.0,389.60,330.75,492.20,1202.30,498.25,620.25,499.60,939.85
60,59.0,393.85,334.00,498.55,1218.60,504.35,628.70,506.00,952.95
61,60.0,398.15,337.15,504.95,1234.90,510.45,637.10,512.45,966.10
62,61.0,402.70,340.45,512.30,1252.40,518.00,646.15,521.90,980.15
63,62.0,407.00,343.70,518.65,1268.65,524.10,654.60,528.30,993.35
64,63.0,411.20,346.85,525.00,1285.00,530.15,662.95,534.80,1006.45
65,64.0,415.50,350.15,531.35,1301.35,536.30,671.35,541.25,1019.70
66,65.0,419.75,353.35,537.75,1317.70,542.35,679.80,547.75,1032.85
67,66.0,424.00,356.55,544.10,1333.95,548.45,688.25,554.25,1046.00
68,67.0,428.30,359.75,550.50,1350.35,554.60,696.60,560.65,1059.20
69,68.0,432.55,363.05,556.90,1366.65,560.65,705.05,567.15,1072.30
70,69.0,436.85,366.20,563.25,1382.90,566.75,713.50,573.60,1085.50
71,70.0,441.05,369.45,569.60,1399.20,572.80,721.85,580.10,1098.65
