,Zones,481,482,484,401,402,403,404,405,406,407,408,409,411,412,413,420,421,Unnamed: 0
0,Letter*,$53.41,$57.12,$55.60,$73.27,$64.41,$79.04,$85.87,$85.59,$108.71,$156.80,$161.87,$70.22,$84.40,$81.77,$69.34,$62.52,$76.96,
1,Pak 1 Lb.**,86.11,92.56,78.67,99.10,84.73,109.36,113.97,112.01,132.56,177.69,184.76,92.14,109.76,108.07,91.82,83.90,95.79,
2,Pak 2 Lbs.**,91.50,101.05,83.40,103.40,94.02,111.54,122.99,119.88,173.24,210.42,217.12,98.67,117.48,115.69,98.41,93.09,125.00,
3,10 KG Box†,175.03,209.72,216.76,262.59,255.83,293.55,350.98,313.86,473.47,412.94,446.65,264.34,323.30,303.54,265.17,223.26,361.75,
4,25 KG Box†,279.01,326.46,342.25,395.08,385.99,452.27,592.28,559.07,792.77,797.05,748.31,410.82,508.12,502.35,424.25,379.81,626.95,
5,1 Lbs.,94.71,108.92,93.83,122.07,112.30,145.07,130.91,127.77,154.67,205.54,209.51,110.83,125.96,128.80,111.85,107.83,115.63,
6,2,105.71,120.10,106.33,141.49,122.64,170.69,154.97,148.84,187.78,233.36,236.31,126.11,151.68,148.85,127.99,117.62,142.18,
7,3,116.52,130.75,125.09,164.37,139.38,189.34,179.41,173.61,224.49,272.77,268.74,150.63,171.38,167.65,151.40,134.36,156.85,
8,4,128.03,143.82,136.64,190.21,157.47,210.11,203.77,195.80,260.29,314.25,319.52,172.66,186.99,183.09,176.36,152.21,174.59,
9,5,138.35,159.11,152.04,217.08,171.65,223.99,222.89,229.05,298.86,349.15,357.71,193.86,224.47,215.34,213.59,169.95,197.99,
10,6,146.90,168.93,167.81,225.55,183.30,244.32,245.70,243.80,333.53,364.80,371.85,213.30,238.92,231.82,220.67,181.47,233.16,
11,7,151.80,174.56,182.98,239.11,190.90,262.31,267.38,264.91,371.63,381.31,388.70,229.12,259.61,258.98,224.58,189.00,258.82,
12,8,160.54,184.62,198.77,252.48,198.61,278.97,284.58,284.97,420.96,423.47,431.68,247.16,279.28,271.53,247.17,196.63,280.51,
13,9,163.62,188.18,208.70,258.98,206.39,296.21,306.32,303.56,457.44,450.72,459.47,251.23,297.50,284.44,251.23,204.32,304.17,
14,10,167.82,192.07,212.54,264.45,214.09,306.35,310.72,308.95,463.70,453.48,470.26,256.26,308.60,300.39,260.08,211.94,318.90,
