,Zones,71,72,74,601/631,602/632,603/633,604/634,605/635,606/636,607/637,608/638,609/639,611/641,612/642,613/643,620,621,603/633 604/634,Unnamed: 0
0,1 Lbs.,$86.43,$88.15,$85.63,$111.39,$102.44,$129.89,$120.18,$117.27,$141.14,$128.29,$130.90,$101.15,$114.93,$117.55,$103.40,$98.05,$103.53,,
1,2,96.48,98.39,97.03,130.86,117.28,151.77,141.42,141.24,172.37,166.23,169.64,119.96,138.40,136.07,122.84,115.99,127.52,,
2,3,106.34,108.46,114.16,151.28,135.40,170.20,163.72,162.69,206.32,188.29,192.14,139.87,159.44,153.29,142.33,131.21,142.50,,
3,4,116.84,119.18,123.58,173.56,146.73,186.82,185.95,183.13,240.58,228.08,232.73,158.09,179.47,167.07,161.46,142.36,159.53,,
4,5,126.25,130.44,138.73,198.10,156.63,204.38,203.39,209.01,271.79,261.17,266.51,176.90,204.29,196.50,193.71,153.96,172.59,,
5,6,135.43,138.14,153.34,216.43,174.28,231.41,234.13,233.03,319.89,300.24,306.35,202.61,227.94,216.35,209.15,172.48,206.85,,
6,7,138.94,142.50,166.40,228.65,181.49,248.49,254.63,253.55,348.91,316.03,320.92,216.73,247.98,242.28,212.11,179.68,215.14,,
7,8,146.30,149.23,180.12,240.70,188.81,264.26,270.67,273.03,393.40,354.37,361.61,233.07,267.57,253.59,233.73,186.93,246.19,,
8,9,148.01,154.67,187.96,245.87,196.18,280.58,291.24,291.05,426.66,379.37,387.12,235.47,285.23,265.26,236.85,194.23,262.22,,
9,10,151.98,160.50,189.73,250.01,203.49,289.85,294.49,295.85,432.93,400.07,408.25,241.62,289.92,281.10,248.24,201.45,278.82,,
10,11,156.76,168.42,199.14,254.53,214.98,293.23,295.36,297.31,447.48,428.36,437.10,243.58,291.37,285.70,260.23,212.82,283.84,,
11,12,157.63,176.32,206.16,256.23,226.44,295.77,307.74,300.15,455.60,440.18,463.19,245.91,294.14,288.07,272.07,222.43,299.42,,
12,13,172.70,184.24,217.40,284.55,234.35,313.35,369.68,329.68,531.57,484.92,494.81,282.72,323.07,339.11,284.20,229.98,326.37,,
13,14,180.76,192.14,220.83,299.44,242.29,349.40,389.50,382.83,567.55,513.19,523.67,288.68,375.18,357.54,296.20,237.92,341.45,,
14,15,186.74,200.05,227.86,308.62,258.80,362.82,409.32,400.30,581.42,541.47,552.52,307.32,392.28,375.99,308.20,254.44,343.93,,
15,16,195.40,207.96,235.03,324.15,271.31,379.60,429.12,422.42,604.88,548.34,559.54,310.64,413.97,392.47,320.19,266.92,365.99,,
16,17,197.00,215.87,242.35,336.50,277.96,380.48,446.39,433.83,633.48,555.19,566.51,326.41,425.15,407.45,332.17,273.60,389.81,,
17,18,202.15,223.78,252.33,347.08,289.16,392.47,455.04,448.45,675.86,598.74,610.97,329.63,439.47,413.45,344.16,284.78,401.84,,
18,19,207.31,231.70,265.95,348.28,298.81,407.90,470.58,461.84,700.56,649.00,662.26,345.85,452.60,425.86,356.16,294.45,414.67,,
19,20,212.45,239.61,271.53,349.16,308.52,408.77,471.70,463.03,702.87,653.33,666.66,357.95,453.77,445.91,368.15,304.14,428.22,,
20,21,227.29,246.34,275.47,360.69,319.74,428.22,499.88,482.28,720.10,695.09,709.26,374.39,472.64,457.81,380.57,315.37,442.01,,
21,22,232.69,253.08,277.85,362.06,328.08,429.10,500.75,486.12,735.41,700.75,715.06,376.51,476.41,459.92,392.99,323.70,454.64,,
22,23,237.41,259.81,278.80,373.90,337.70,429.97,502.99,491.31,744.68,718.23,732.89,377.39,481.48,460.78,405.43,333.34,459.52,,
23,24,243.17,266.54,288.84,380.10,344.52,430.85,503.86,492.18,747.51,720.16,734.85,378.27,482.35,461.66,417.85,340.16,467.38,,
24,25,247.99,273.29,294.31,383.47,350.18,434.61,504.87,493.64,749.90,752.24,767.60,379.14,483.78,464.33,430.26,345.81,486.68,,
25,26,261.37,280.02,305.97,451.17,366.84,536.12,600.95,560.19,817.61,802.16,818.54,435.81,549.00,543.05,442.68,362.47,505.39,,
26,27,266.31,286.76,306.85,464.12,376.49,549.02,623.36,570.55,839.17,844.08,861.33,447.21,559.13,562.94,454.56,372.12,506.27,,
27,28,272.89,293.48,315.30,477.03,383.51,561.91,640.33,626.00,853.02,867.13,884.82,458.60,613.49,566.52,467.54,379.13,523.82,,
